2025-12-21 22:21:47 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: a722b2ba-8a00-49df-9d2e-667090099860
2025-12-21 22:29:21 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: a8ab9c4f-c378-4dfc-b21d-3b1d70263186
2025-12-21 22:29:21 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: a8ab9c4f-c378-4dfc-b21d-3b1d70263186
2025-12-21 22:29:21 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: a8ab9c4f-c378-4dfc-b21d-3b1d70263186
2025-12-21 22:30:36 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 4563a8cf-a102-4d99-9f27-6ad9f78a3135
2025-12-21 22:30:36 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 4563a8cf-a102-4d99-9f27-6ad9f78a3135
2025-12-21 22:30:36 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 4563a8cf-a102-4d99-9f27-6ad9f78a3135
2025-12-21 22:31:22 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 5773810a-3f5c-4206-a337-11ab88c97952
2025-12-21 22:31:22 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 5773810a-3f5c-4206-a337-11ab88c97952
2025-12-21 22:31:22 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 5773810a-3f5c-4206-a337-11ab88c97952
2025-12-21 22:34:42 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 3aa178b7-5f76-432c-9ded-d999c82836ad
2025-12-21 22:34:42 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 3aa178b7-5f76-432c-9ded-d999c82836ad
2025-12-21 22:34:42 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 3aa178b7-5f76-432c-9ded-d999c82836ad
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: user-123
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: user-123
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: user-123
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Main Wallet fetched successfully
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Sub Wallet with ID: sub-1
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Sub Wallet fetched successfully
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Investment for Sub Wallet ID: sub-1
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Investment fetched successfully
2025-12-21 22:38:09 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Pot investments fetched successfully for User UUID: user-123
